username,firstName,lastName,password,email
jsmith,John,Smith,p@ssw3rd,jonhsmith@gmail.com
janesmith,Jane,Smith,s3cret,janesmith@outlook.com
joesmith,Joe,Smith,blackd0g,joesmith@gmail.com
jimsmith,Jim,Smith,wh1it3cAt,jimsmith@gmail.com
jacksmith,Jack,Smith,blu3FisH,jacksmith@outlook.com
johndoe,John,Doe,R3dHors3,jonhdoe@gmail.com
janedoe,Jane,Doe,GreenFr0g,janedoe@outlook.com
msanders,Michael,Sanders,YellowTurtle,michaelsanders@gmail.com
boballen,Bob,Allen,PurpleSnake,boballen@outlook.com
jamesq,James,Quimbly,PinkPig,jamesquimbly@gmail.com
mscott,Michael,Scott,WhiteZebra,michaelscott@gmail.com
jhalprin,Jim,Halprin,BlackTurkey,jimhalprin@outlook.com
tjones,Teresa,Jones,BlueHawk,teresajones@gmail.com
tomjones,Tommy,Jones,GreenTree,tommyjones@outlook.com
greggjones,Gregg,Jones,OrangeFish,greggjones@gmail.com
dthompson,Daniel,Thompson,RedBoat,danielthompson@outlook.com
pjones,Pamela,Jones,BlackSnake,pamelahones@gmail.com
fsmith,Fred,Smith,WhiteHorse,fredsmith@outlook.com
fransmith,Fran,Smith,YellowDuck,fransmith@gmail.com
cthompson,Chris,Thompson,BlueEel,chris@gmail.com
